                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3685,                 2.5528,                 1.4771,                0.64226,                0.48443,                0.53576,                0.35311,                   1.54,                 2.1092,                 1.5792,              0.0033264,              0.0033264,              0.0033264
                      2,                 1.2764,                 1.7587,                 1.4038,                0.72305,                0.52624,                0.59409,                0.38238,                 1.5684,                  1.762,                 1.6314,              0.0065938,              0.0065938,              0.0065938
                      3,                 1.3307,                   1.63,                 1.4517,                0.66033,                0.49627,                0.52264,                0.33682,                 1.6839,                 1.8083,                 1.7095,              0.0097952,              0.0097952,              0.0097952
                      4,                 1.3624,                 1.5578,                  1.479,                0.74754,                0.45869,                0.52305,                0.35896,                 1.6707,                 1.8493,                 1.7872,               0.009703,               0.009703,               0.009703
                      5,                 1.3263,                  1.464,                 1.4624,                0.75624,                0.49984,                0.58355,                0.38791,                 1.6128,                 1.7141,                 1.7189,               0.009703,               0.009703,               0.009703
                      6,                 1.2861,                 1.3805,                 1.4329,                0.78827,                0.61081,                0.69022,                0.47197,                 1.4451,                 1.3169,                 1.5642,               0.009604,               0.009604,               0.009604
                      7,                 1.2599,                 1.3174,                 1.4226,                0.74374,                0.57488,                0.64953,                 0.4406,                 1.5272,                 1.4563,                 1.6398,               0.009505,               0.009505,               0.009505
                      8,                 1.2241,                  1.263,                 1.3965,                0.79215,                0.62149,                0.69817,                0.48257,                 1.4422,                 1.2535,                 1.5465,               0.009406,               0.009406,               0.009406
                      9,                 1.2124,                 1.2367,                 1.3881,                0.81026,                0.65029,                0.72394,                0.50062,                 1.4102,                 1.2046,                 1.5349,               0.009307,               0.009307,               0.009307
                     10,                 1.2086,                 1.2165,                 1.3882,                0.83783,                0.67237,                0.75365,                0.51946,                  1.381,                 1.1214,                 1.5127,               0.009208,               0.009208,               0.009208
                     11,                 1.1805,                  1.171,                 1.3668,                0.83153,                0.64445,                0.72987,                0.50862,                 1.3702,                 1.1488,                 1.5025,               0.009109,               0.009109,               0.009109
                     12,                 1.1583,                 1.1437,                 1.3515,                 0.8223,                0.65876,                0.73449,                0.51171,                 1.3825,                 1.1402,                 1.5145,                0.00901,                0.00901,                0.00901
                     13,                 1.1419,                 1.1169,                 1.3454,                0.81568,                0.65278,                0.72779,                0.51516,                  1.346,                 1.1274,                 1.4761,               0.008911,               0.008911,               0.008911
                     14,                 1.1493,                  1.107,                 1.3447,                  0.837,                0.67796,                0.76113,                0.54019,                 1.3112,                 1.0622,                 1.4536,               0.008812,               0.008812,               0.008812
                     15,                  1.129,                 1.0922,                 1.3359,                0.83312,                 0.6886,                0.75921,                0.53994,                 1.2935,                 1.0353,                 1.4528,               0.008713,               0.008713,               0.008713
                     16,                 1.1007,                 1.0619,                 1.3221,                0.79452,                0.70064,                0.75367,                0.54096,                 1.3013,                 1.0617,                  1.452,               0.008614,               0.008614,               0.008614
                     17,                 1.1144,                 1.0745,                 1.3284,                 0.8655,                0.67913,                 0.7715,                0.54936,                 1.2832,                 1.0138,                 1.4438,               0.008515,               0.008515,               0.008515
                     18,                 1.0963,                 1.0537,                 1.3248,                0.84859,                0.67953,                0.76174,                0.54699,                 1.2829,                 1.0229,                 1.4436,               0.008416,               0.008416,               0.008416
                     19,                 1.0855,                 1.0412,                 1.3122,                0.85929,                0.67954,                0.77012,                 0.5469,                  1.277,                 1.0083,                 1.4373,               0.008317,               0.008317,               0.008317
                     20,                 1.0857,                 1.0377,                 1.3182,                0.83016,                0.69894,                0.77165,                0.54679,                 1.2765,                 1.0478,                 1.4314,               0.008218,               0.008218,               0.008218
                     21,                 1.0799,                 1.0096,                 1.3085,                0.84313,                0.70208,                0.78286,                0.56106,                 1.2624,                0.98112,                 1.4243,               0.008119,               0.008119,               0.008119
