                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4194,                 2.6021,                 1.5089,                0.58158,                0.44895,                0.46341,                0.30023,                 1.5847,                 2.1629,                 1.6187,              0.0033264,              0.0033264,              0.0033264
                      2,                 1.3499,                 1.8992,                 1.4366,                0.63602,                0.49658,                0.53101,                0.33221,                  1.594,                 1.9519,                 1.6752,              0.0065938,              0.0065938,              0.0065938
                      3,                 1.3954,                 1.7164,                 1.4669,                0.62015,                0.52024,                0.54594,                 0.3447,                 1.6263,                 1.7022,                 1.6818,              0.0097952,              0.0097952,              0.0097952
                      4,                 1.4032,                 1.5979,                 1.4715,                0.74386,                0.54923,                0.61515,                0.39005,                 1.5803,                 1.5722,                 1.6513,               0.009703,               0.009703,               0.009703
                      5,                 1.3624,                 1.4886,                 1.4442,                0.73596,                0.58399,                0.64744,                0.42405,                 1.5371,                 1.4246,                 1.5976,               0.009703,               0.009703,               0.009703
                      6,                 1.3276,                 1.4061,                 1.4227,                0.73434,                0.61132,                0.66028,                0.43477,                 1.4913,                 1.4629,                 1.5631,               0.009604,               0.009604,               0.009604
                      7,                 1.2968,                 1.3589,                 1.4042,                0.75915,                0.62271,                0.67464,                0.44944,                 1.4667,                 1.3167,                 1.5281,               0.009505,               0.009505,               0.009505
                      8,                 1.2623,                 1.3071,                 1.3817,                0.77092,                0.61626,                0.68321,                  0.464,                 1.4489,                 1.2926,                 1.5311,               0.009406,               0.009406,               0.009406
                      9,                 1.2526,                 1.2889,                 1.3743,                0.75179,                 0.6238,                0.68942,                0.46923,                 1.4161,                 1.2687,                  1.504,               0.009307,               0.009307,               0.009307
                     10,                 1.2474,                 1.2654,                 1.3751,                0.79344,                 0.6301,                0.70143,                0.47505,                 1.4272,                 1.2686,                 1.4948,               0.009208,               0.009208,               0.009208
                     11,                 1.2198,                 1.2243,                 1.3499,                0.80526,                0.64002,                0.71792,                0.48966,                 1.3983,                 1.2304,                 1.5031,               0.009109,               0.009109,               0.009109
