                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9453,                 3.2011,                 2.1071,                0.00448,                0.48821,                0.06386,                0.02083,                 2.2295,                 3.3784,                 2.5925,             0.00030006,             0.00030006,             0.00030006
                      2,                 1.8838,                  2.816,                 2.0437,                0.00559,                0.56813,                0.10927,                0.03171,                  2.222,                  3.246,                 2.5539,             0.00061457,             0.00061457,             0.00061457
                      3,                 1.8233,                 2.6427,                 1.9624,                0.02348,                0.42767,                0.05934,                0.01199,                 2.5577,                 3.2569,                 2.6916,              0.0009268,              0.0009268,              0.0009268
                      4,                 1.8573,                 2.5578,                 1.9806,                0.51817,                0.02778,                0.03156,                0.00864,                 2.7369,                 3.3026,                 2.7573,              0.0012367,              0.0012367,              0.0012367
                      5,                 1.8188,                 2.4987,                 1.9642,                0.10702,                0.28433,                0.08805,                0.02391,                 2.4122,                 3.1139,                 2.6156,              0.0015444,              0.0015444,              0.0015444
                      6,                 1.8421,                 2.5682,                 1.9951,                0.16456,                0.21488,                0.10447,                0.03296,                  2.478,                 3.6136,                 2.6035,               0.001637,               0.001637,               0.001637
                      7,                 1.8178,                 2.4851,                 1.9552,                0.24215,                0.28538,                0.14449,                0.04425,                 2.7612,                 4.0234,                 2.7342,               0.001637,               0.001637,               0.001637
                      8,                  1.809,                 2.3565,                 1.9317,                0.24021,                0.26756,                0.15143,                0.04421,                 2.4943,                 6.2165,                 2.6988,               0.001631,               0.001631,               0.001631
                      9,                 1.8124,                 2.3369,                 1.9527,                0.12247,                0.16929,                0.08806,                0.03603,                  2.475,                 4.2767,                 2.6044,               0.001625,               0.001625,               0.001625
                     10,                 1.8056,                 2.3376,                 1.9448,                0.10383,                0.13653,                0.07672,                0.02988,                 2.5496,                 4.6277,                 2.5589,               0.001619,               0.001619,               0.001619
                     11,                 1.7463,                 2.2959,                 1.9013,                 0.1619,                0.22877,                0.13728,                0.05212,                 2.4098,                 3.7324,                 2.4685,               0.001613,               0.001613,               0.001613
                     12,                 1.7506,                 2.2898,                 1.8942,                 0.2348,                 0.1782,                0.11359,                0.04234,                 2.4657,                 3.2416,                 2.5123,               0.001607,               0.001607,               0.001607
                     13,                 1.7224,                 2.1947,                 1.8869,                0.20247,                 0.1837,                 0.1249,                0.04709,                 2.3869,                 3.0502,                 2.3811,               0.001601,               0.001601,               0.001601
                     14,                 1.6867,                 2.1496,                 1.8523,                0.35632,                0.27149,                0.17446,                0.05658,                 2.4709,                 2.9011,                 2.5881,               0.001595,               0.001595,               0.001595
                     15,                 1.7367,                 2.1678,                 1.8665,                0.28728,                0.15881,                0.10509,                 0.0355,                 2.5134,                 2.9051,                 2.5791,               0.001589,               0.001589,               0.001589
                     16,                 1.7105,                 2.1359,                 1.8905,                0.33493,                0.23428,                0.20276,                0.06552,                 2.4849,                 2.7164,                 2.5672,               0.001583,               0.001583,               0.001583
                     17,                 1.6656,                 2.0923,                 1.7988,                0.19966,                0.27699,                0.15154,                0.05881,                 2.2876,                 2.7915,                 2.3745,               0.001577,               0.001577,               0.001577
                     18,                 1.6294,                 2.0337,                 1.7928,                0.30925,                0.36871,                0.26684,                0.10129,                 2.2391,                 2.5392,                 2.3165,               0.001571,               0.001571,               0.001571
                     19,                 1.6718,                 2.0534,                 1.8287,                0.27032,                0.27683,                0.15632,                0.04944,                 2.3637,                 2.9048,                 2.4379,               0.001565,               0.001565,               0.001565
                     20,                 1.6401,                 1.9852,                 1.7736,                0.39357,                0.25603,                0.22219,                0.06381,                  2.416,                 2.8182,                 2.5509,               0.001559,               0.001559,               0.001559
                     21,                 1.6385,                 1.9591,                 1.7947,                 0.2508,                0.33753,                 0.2298,                0.06945,                  2.383,                 2.4617,                 2.5299,               0.001553,               0.001553,               0.001553
                     22,                 1.6396,                  1.974,                 1.7816,                0.29068,                0.27044,                0.17386,                 0.0579,                 2.3826,                 2.9421,                 2.5401,               0.001547,               0.001547,               0.001547
                     23,                 1.6337,                  1.938,                 1.7813,                0.28629,                0.30817,                0.21046,                0.08143,                 2.3834,                 2.6738,                 2.5577,               0.001541,               0.001541,               0.001541
                     24,                 1.5863,                 1.8489,                 1.7422,                0.41283,                 0.3385,                0.29265,                0.10157,                 2.2658,                 2.6214,                 2.4001,               0.001535,               0.001535,               0.001535
                     25,                 1.5619,                  1.792,                   1.72,                0.24489,                0.28092,                0.19515,                0.07518,                 2.2723,                 2.5484,                 2.3885,               0.001529,               0.001529,               0.001529
                     26,                 1.6115,                 1.8383,                 1.7417,                0.52589,                0.21095,                0.21758,                0.07131,                  2.374,                 2.7419,                 2.3837,               0.001523,               0.001523,               0.001523
                     27,                  1.591,                 1.8542,                 1.7727,                 0.3626,                0.28857,                0.24388,                0.08693,                 2.2747,                 2.7118,                 2.3652,               0.001517,               0.001517,               0.001517
                     28,                 1.5677,                 1.7797,                  1.755,                0.40336,                0.37867,                0.34989,                 0.1393,                 2.2501,                 2.4879,                 2.3898,               0.001511,               0.001511,               0.001511
                     29,                 1.5288,                 1.7345,                 1.7231,                0.52996,                0.26703,                 0.2382,                0.09096,                  2.282,                 2.8727,                 2.3987,               0.001505,               0.001505,               0.001505
                     30,                 1.5658,                 1.7467,                 1.7153,                0.33785,                0.33202,                0.23129,                0.07771,                 2.4632,                 2.5145,                 2.5432,               0.001499,               0.001499,               0.001499
                     31,                 1.4879,                 1.6873,                 1.6672,                0.38487,                0.26703,                0.20942,                0.08466,                 2.2791,                 2.5829,                 2.4532,               0.001493,               0.001493,               0.001493
                     32,                 1.5129,                 1.7233,                 1.7121,                 0.3154,                0.36085,                0.27496,                 0.1077,                 2.2029,                 2.3619,                  2.381,               0.001487,               0.001487,               0.001487
                     33,                 1.4796,                 1.6794,                 1.6744,                 0.3601,                0.36032,                0.25622,                0.08726,                 2.3647,                 2.4561,                 2.5042,               0.001481,               0.001481,               0.001481
                     34,                 1.4879,                 1.5887,                 1.6296,                0.42677,                0.17374,                0.19284,                 0.0799,                 2.2527,                 2.6871,                 2.3391,               0.001475,               0.001475,               0.001475
                     35,                 1.4836,                 1.6766,                 1.6677,                0.46208,                0.16434,                0.18381,                0.07347,                 2.3442,                 2.7499,                 2.4485,               0.001469,               0.001469,               0.001469
                     36,                 1.4858,                 1.6138,                 1.6697,                0.30207,                0.26651,                0.19947,                0.07631,                 2.3521,                 3.0487,                 2.5003,               0.001463,               0.001463,               0.001463
                     37,                 1.4559,                 1.5423,                   1.65,                0.34564,                0.32115,                0.29212,                0.09846,                 2.3008,                 2.6513,                 2.4281,               0.001457,               0.001457,               0.001457
                     38,                 1.4246,                 1.5353,                 1.6047,                0.30336,                0.32259,                0.27432,                0.09859,                 2.3377,                 2.5167,                 2.5001,               0.001451,               0.001451,               0.001451
                     39,                 1.4762,                  1.541,                 1.6282,                0.39236,                0.26703,                0.23433,                0.09207,                 2.3275,                 2.6119,                 2.5693,               0.001445,               0.001445,               0.001445
                     40,                 1.4241,                 1.5024,                 1.6261,                 0.4117,                0.39494,                0.33191,                0.10879,                  2.354,                  2.612,                 2.5895,               0.001439,               0.001439,               0.001439
                     41,                 1.4295,                 1.4932,                 1.6246,                0.31684,                0.36923,                0.25191,                 0.0804,                 2.4298,                 2.7177,                 2.6598,               0.001433,               0.001433,               0.001433
                     42,                  1.429,                 1.5593,                 1.6315,                0.55375,                0.28931,                0.26839,                0.08883,                 2.4167,                 2.6362,                  2.614,               0.001427,               0.001427,               0.001427
                     43,                 1.3959,                 1.4681,                 1.5934,                 0.3382,                0.19209,                  0.156,                0.04915,                 2.5176,                 2.8561,                 2.8369,               0.001421,               0.001421,               0.001421
                     44,                 1.3823,                 1.4741,                 1.5989,                0.60122,                0.26599,                0.28551,                0.10104,                 2.3949,                 2.7258,                 2.7202,              0.0014149,              0.0014149,              0.0014149
                     45,                  1.352,                 1.3966,                 1.5581,                 0.3765,                0.31316,                0.26537,                0.11653,                 2.2711,                 2.4182,                 2.5245,              0.0014089,              0.0014089,              0.0014089
                     46,                 1.4262,                 1.4843,                 1.6083,                0.35531,                 0.3244,                0.23476,                0.09127,                  2.468,                 2.5121,                 2.7664,              0.0014029,              0.0014029,              0.0014029
                     47,                 1.4272,                 1.4539,                   1.61,                0.32889,                0.29429,                0.25641,                0.11301,                  2.425,                 2.6069,                 2.6789,              0.0013969,              0.0013969,              0.0013969
                     48,                 1.3504,                 1.3862,                 1.5795,                0.48779,                0.30441,                0.29217,                 0.1008,                 2.4448,                 2.5419,                 2.7211,              0.0013909,              0.0013909,              0.0013909
                     49,                 1.3821,                 1.4194,                 1.6037,                0.43073,                0.31761,                 0.2688,                0.09613,                 2.3534,                 2.5828,                  2.645,              0.0013849,              0.0013849,              0.0013849
