                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4058,                 2.2119,                 1.5093,                0.59796,                0.42706,                0.46768,                0.29816,                 1.7562,                 2.1263,                 1.8032,             0.00055421,             0.00055421,             0.00055421
                      2,                 1.3771,                 1.6596,                 1.4841,                 0.6335,                0.47863,                 0.5197,                0.32888,                 1.7057,                  1.841,                 1.7596,              0.0010989,              0.0010989,              0.0010989
                      3,                 1.3547,                 1.5332,                 1.4769,                0.69627,                0.50105,                0.55717,                0.36191,                 1.6705,                 1.7241,                 1.7572,              0.0016326,              0.0016326,              0.0016326
                      4,                 1.3363,                 1.4852,                  1.475,                0.72545,                0.53335,                0.59812,                0.40615,                 1.5663,                 1.6191,                 1.6803,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.2892,                 1.3979,                 1.4425,                 0.7476,                 0.5232,                0.60531,                0.40875,                 1.5744,                 1.5527,                 1.6515,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.2689,                 1.3429,                 1.4264,                0.73661,                 0.5305,                0.59485,                0.40963,                  1.574,                 1.5781,                 1.6644,               0.001601,               0.001601,               0.001601
                      7,                 1.2265,                 1.2801,                 1.4028,                 0.7549,                0.55181,                 0.6343,                0.42852,                 1.5392,                 1.4263,                 1.6052,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.2019,                 1.2503,                 1.3803,                0.76598,                0.57019,                0.64236,                0.44985,                 1.4736,                 1.3955,                 1.5912,               0.001568,               0.001568,               0.001568
                      9,                 1.2198,                 1.2405,                 1.3916,                0.75693,                0.54144,                0.61394,                0.43139,                   1.49,                 1.4492,                 1.6079,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.1856,                 1.2024,                 1.3699,                0.80773,                0.61402,                0.69378,                0.48498,                 1.3954,                 1.2293,                 1.5141,               0.001535,               0.001535,               0.001535
                     11,                 1.1667,                 1.1788,                 1.3595,                0.81698,                0.60779,                0.68752,                0.48219,                 1.4048,                 1.2136,                 1.5104,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.1493,                 1.1505,                 1.3504,                0.79565,                0.61249,                0.68404,                0.47652,                 1.4327,                 1.2374,                  1.529,               0.001502,               0.001502,               0.001502
                     13,                 1.1361,                 1.1391,                 1.3439,                0.82227,                0.59191,                 0.6821,                0.48328,                 1.3869,                 1.2272,                  1.514,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.1166,                 1.1064,                 1.3282,                0.79274,                0.61706,                0.69962,                0.48771,                 1.4016,                 1.1886,                  1.511,               0.001469,               0.001469,               0.001469
                     15,                 1.1195,                 1.1075,                 1.3369,                0.80652,                 0.6337,                 0.7049,                0.49657,                  1.372,                 1.1586,                 1.4974,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.1041,                 1.0884,                 1.3198,                0.81425,                0.63696,                0.71314,                0.50539,                 1.3445,                 1.1387,                 1.4725,               0.001436,               0.001436,               0.001436
                     17,                 1.1094,                  1.079,                 1.3258,                0.82124,                0.64847,                0.72085,                0.50741,                 1.3436,                 1.1043,                 1.4718,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.0947,                  1.057,                 1.3172,                0.80009,                0.65124,                0.71907,                0.50892,                 1.3172,                 1.1004,                 1.4343,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.0831,                 1.0475,                 1.3072,                0.81516,                0.63149,                0.71251,                0.50377,                 1.3347,                 1.1284,                 1.4653,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.0932,                  1.048,                 1.3142,                0.80996,                 0.6405,                 0.7168,                0.51303,                 1.3307,                  1.119,                 1.4692,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.0744,                 1.0334,                 1.3164,                0.81603,                0.64122,                0.71575,                0.50805,                  1.327,                 1.0841,                 1.4611,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.0541,                 1.0013,                 1.2907,                0.83826,                0.66127,                0.73699,                0.52624,                 1.2931,                 1.0528,                 1.4445,              0.0013369,              0.0013369,              0.0013369
                     23,                  1.067,                 1.0206,                  1.301,                0.83917,                0.65128,                0.73766,                0.52687,                 1.2824,                 1.0306,                 1.4146,              0.0013204,              0.0013204,              0.0013204
                     24,                  1.057,                0.99862,                 1.2959,                0.83788,                0.65794,                0.74011,                 0.5295,                 1.2766,                 1.0492,                 1.4256,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.0314,                0.97904,                 1.2797,                0.83515,                0.65382,                0.73818,                0.52382,                 1.2896,                 1.0335,                 1.4293,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.0318,                0.97549,                 1.2761,                0.80753,                 0.6573,                0.72969,                0.52381,                 1.2773,                 1.0607,                 1.4104,              0.0012709,              0.0012709,              0.0012709
                     27,                  1.045,                0.98222,                 1.2898,                0.84396,                0.66364,                0.74297,                 0.5342,                 1.2741,                 1.0124,                 1.4073,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.0315,                0.96481,                  1.277,                0.83732,                0.66818,                0.74742,                0.53778,                 1.2589,                 1.0099,                 1.4102,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.0246,                0.95326,                 1.2686,                0.82415,                  0.674,                0.74984,                0.53771,                 1.2743,                0.99925,                 1.4182,              0.0012214,              0.0012214,              0.0012214
                     30,                  1.032,                0.95581,                 1.2767,                0.84579,                0.66457,                0.75007,                0.53661,                 1.2529,                0.99899,                 1.4011,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.0124,                0.92912,                 1.2651,                0.85506,                0.66834,                0.75548,                0.54398,                 1.2364,                0.97217,                 1.3811,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.0147,                0.93558,                 1.2671,                0.83799,                0.67663,                0.76071,                0.55048,                  1.241,                0.96889,                 1.3859,              0.0011719,              0.0011719,              0.0011719
                     33,                  1.016,                 0.9225,                 1.2605,                0.85689,                0.66008,                0.75004,                 0.5421,                  1.248,                0.96832,                 1.3961,              0.0011554,              0.0011554,              0.0011554
                     34,                0.98787,                0.90411,                 1.2498,                0.85243,                0.67043,                0.76336,                0.55129,                 1.2235,                0.94236,                 1.3785,              0.0011389,              0.0011389,              0.0011389
