                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3794,                  2.182,                 1.4848,                0.59897,                0.41602,                0.45449,                0.28956,                 1.6765,                 2.2894,                  1.754,             0.00055422,             0.00055422,             0.00055422
                      2,                 1.3731,                 1.6555,                 1.4812,                0.71237,                0.48525,                0.54819,                0.35299,                 1.6582,                 1.7334,                  1.727,              0.0010989,              0.0010989,              0.0010989
                      3,                 1.3671,                 1.5328,                 1.4816,                0.63584,                0.38015,                0.44789,                0.28964,                 1.8292,                 2.2039,                 1.9563,              0.0016326,              0.0016326,              0.0016326
                      4,                 1.3221,                 1.4743,                 1.4592,                0.72839,                0.52295,                 0.5784,                0.37864,                 1.6299,                 1.7213,                 1.7001,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.2755,                 1.3741,                 1.4287,                0.69333,                0.53084,                 0.5853,                0.38612,                 1.5861,                 1.5375,                 1.6543,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.2639,                  1.352,                 1.4219,                0.76234,                 0.5625,                0.62314,                0.41703,                 1.5053,                 1.5257,                 1.5737,               0.001601,               0.001601,               0.001601
                      7,                 1.2218,                 1.2712,                 1.3936,                0.79588,                0.58428,                0.65573,                0.43893,                 1.5061,                 1.3587,                 1.5672,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.2134,                 1.2482,                  1.389,                0.80083,                0.58938,                0.66307,                 0.4506,                   1.45,                 1.2712,                 1.5358,               0.001568,               0.001568,               0.001568
                      9,                  1.192,                 1.2085,                 1.3743,                  0.806,                0.58459,                0.66669,                0.45903,                 1.4503,                 1.2391,                 1.5515,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.1675,                 1.1813,                  1.356,                 0.8008,                0.57901,                0.64731,                0.44399,                 1.4735,                 1.3244,                 1.5699,               0.001535,               0.001535,               0.001535
                     11,                 1.1526,                  1.158,                 1.3469,                0.78143,                0.57608,                0.64542,                0.45204,                 1.4376,                 1.3364,                 1.5443,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.1578,                 1.1475,                 1.3527,                0.78677,                0.62119,                0.68406,                0.47801,                 1.3826,                 1.1966,                 1.5038,               0.001502,               0.001502,               0.001502
                     13,                 1.1295,                 1.1233,                 1.3413,                0.80506,                0.60658,                0.67753,                0.47307,                 1.3999,                 1.1943,                 1.5108,              0.0014855,              0.0014855,              0.0014855
                     14,                  1.126,                 1.1111,                  1.332,                0.79766,                0.62281,                0.68742,                 0.4804,                 1.3785,                 1.1612,                 1.5001,               0.001469,               0.001469,               0.001469
                     15,                 1.1156,                 1.0971,                 1.3303,                0.80346,                0.62466,                0.68271,                 0.4768,                 1.3674,                 1.1382,                 1.4858,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.0994,                 1.0767,                 1.3236,                0.82337,                0.61337,                0.69283,                0.47435,                 1.3897,                  1.203,                 1.5021,               0.001436,               0.001436,               0.001436
                     17,                 1.0813,                 1.0537,                 1.3127,                0.82016,                0.63724,                0.70788,                  0.499,                 1.3285,                 1.1098,                 1.4709,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.0856,                 1.0511,                 1.3093,                0.78965,                0.58477,                0.65669,                0.46055,                 1.4212,                 1.2879,                 1.5167,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.0966,                 1.0506,                 1.3129,                 0.8114,                0.64547,                0.70889,                0.49865,                 1.3345,                 1.0786,                 1.4714,              0.0013864,              0.0013864,              0.0013864
